name,prompt,negative_prompt
Style: James Turrell,"James Turrell style {prompt} . Land art, light, immersive, perceptual","Street art, dark, observational, intellectual"
Style: Édouard Manet,"Édouard Manet style {prompt} . Realist, modern life, loose brushwork, controversial","Romantic, history, fine brushwork, conventional"
Style: Marc Chagall (2),"Marc Chagall style {prompt} . Surrealist, dreamlike, colorful, narrative","Realist, day-to-day, monochrome, non-narrative"
Style: Dan Flavin,"Dan Flavin style {prompt} . Minimalist, light, fluorescent, site-specific","Baroque, dark, oil, gallery-specific"
Style: Sarah Lucas,"Sarah Lucas style {prompt} . YBA, feminist, readymade, provocative","Old Masters, masculine, handmade, conservative"
Style: Johannes Vermeer,"Johannes Vermeer style {prompt} . Baroque, domestic, light, detailed","Cubist, public, dark, abstract"
Style: Tadao Ando,"Tadao Ando style {prompt} . Minimalist, concrete, light, water","Baroque, brick, dark, dry"
Style: Roy Lichtenstein (2),"Roy Lichtenstein style {prompt} . Pop art, comic strip, benday dots, primary colors","Abstract expressionism, serious subject, brushwork, secondary colors"
Style: Joseph Cornell,"Joseph Cornell style {prompt} . Surrealist, box, found objects, nostalgic","Minimalist, open space, new materials, contemporary"
Style: Gustave Courbet,"Gustave Courbet style {prompt} . Realist, rural life, coarse brushwork, controversial","Neoclassical, noble life, fine brushwork, conventional"
Style: Richard Long,"Richard Long style {prompt} . Land art, circle, natural materials, ephemeral","Street art, square, synthetic materials, permanent"
Style: Otto Dix,"Otto Dix style {prompt} . New Objectivity, war, grotesque, social critique","Impressionism, peace, beautiful, aesthetic enjoyment"
Style: Barnett Newman,"Barnett Newman style {prompt} . Abstract expressionism, zip, large-scale, color field","Pop art, pattern, small-scale, comic strip"
Style: Sophie Calle,"Sophie Calle style {prompt} . Conceptual, photography, text, personal","Abstract, painting, brushwork, universal"
Style: KAWS,"KAWS style {prompt} . Pop art, vinyl toy, X eyes, cartoonish","Conceptual, bronze statue, normal eyes, realistic"
Style: Francis Picabia,"Francis Picabia style {prompt} . Dada, machine, painting, provocative","Impressionism, nature, sketch, pleasant"
Style: H.R. Giger,"H.R. Giger style {prompt} . Surrealist, biomechanical, airbrush, dark","Impressionist, human, brush, light"
Style: Jean Arp,"Jean Arp style {prompt} . Dada, abstract, biomorphic, sculpture","Realism, figurative, geometric, painting"
Style: Ai Weiwei (3),"Ai Weiwei style {prompt} . Contemporary, political, installation, ceramics","Renaissance, neutral, oil painting, metals"
Style: Fernand Léger,"Fernand Léger style {prompt} . Cubist, mechanical, mural, bold colors","Surrealist, organic, small-scale, muted colors"
Style: Yoko Ono (2),"Yoko Ono style {prompt} . Conceptual, performance, instruction, peace","Realist, still life, detailed, war"
Style: Cindy Sherman (2),"Cindy Sherman style {prompt} . Contemporary, self-portrait, photography, identity","Traditional, landscape, painting, anonymity"
Style: Nam June Paik (2),"Nam June Paik style {prompt} . Video art, television, interactive, futuristic","Traditional art, canvas, passive, historical"
Style: Barbara Kruger,"Barbara Kruger style {prompt} . Conceptual, text, black and white, feminist","Impressionist, image, color, patriarchal"
Style: Piero della Francesca,"Piero della Francesca style {prompt} . Renaissance, fresco, mathematical, religious","Contemporary, installation, random, secular"
Style: Richard Hamilton,"Richard Hamilton style {prompt} . Pop Art, collage, consumer culture, mixed media","Impressionism, oil painting, rural life, single medium"
Style: Kazimir Malevich (2),"Kazimir Malevich style {prompt} . Suprematism, abstract, geometric, minimal","Realism, figurative, detailed, maximal"
Style: Grayson Perry,"Grayson Perry style {prompt} . Contemporary, ceramics, tapestry, narrative","Old Masters, oil painting, canvas, non-narrative"
Style: Faith Ringgold,"Faith Ringgold style {prompt} . Contemporary, quilt, narrative, feminist","Abstract, sculpture, non-narrative, masculine"
Style: Banksy (2),"Banksy style {prompt} . Street Art, stencil, satirical, black and white","Studio Art, oil painting, serious, color"
Style: Olafur Eliasson,"Olafur Eliasson style {prompt} . Installation, light, environment, perceptual","Painting, dark, indoors, cognitive"
Style: Kiki Smith,"Kiki Smith style {prompt} . Feminist, body, sculpture, mythological","Patriarchal, landscape, painting, historical"
Style: David Hockney (2),"David Hockney style {prompt} . Pop Art, vibrant colors, collage, landscapes","Abstract Expressionism, muted colors, single panel, figures"
Style: Chris Ofili,"Chris Ofili style {prompt} . YBA, mixed-media, elephant dung, decorative","Minimalism, single-media, clean, austere"
Style: Ellsworth Kelly,"Ellsworth Kelly style {prompt} . Hard-edge painting, color field, minimalist, geometric","Impressionism, detailed, ornate, organic"
Style: Christo and Jeanne-Claude,"Christo and Jeanne-Claude style {prompt} . Installation, environmental, fabric, temporal","Still Life, indoor, metal, permanent"
Style: Wayne Thiebaud,"Wayne Thiebaud style {prompt} . Pop Art, still life, pastel, thick paint","Cubism, dynamic scenes, vibrant, thin paint"
Style: Jenny Holzer (2),"Jenny Holzer style {prompt} . Conceptual, text, LED, public spaces","Realism, image, oil painting, private spaces"
Style: Antony Gormley (2),"Antony Gormley style {prompt} . Sculpture, human form, rusted metal, public art","Painting, abstract, bright colors, gallery art"
Style: Maurice Sendak,"Maurice Sendak style {prompt} . Children's illustration, fantasy, detailed, narrative","Abstract, adult, minimalist, non-narrative"
Portrait Photography Style: Charismatic,"{prompt} with charisma. 50mm lens, f/2.8, focused on eyes, natural lighting","overexposed, underexposed, blurry, distorted, overprocessed"
Portrait Photography Style: Cinematic,"cinematic portrait of {prompt}. 85mm lens, f/1.8, dramatic side lighting, moody atmosphere","overblown highlights, noisy, grainy, oversaturated, wide-angle distortion"
Portrait Photography Style: Environmental,"environmental portrait of {prompt}. 35mm lens, f/4, wider context, natural surroundings","cluttered background, poor lighting, overexposed, underexposed, unsharp"
Photojournalism Style: Reportage,"gripping reportage of {prompt}. Wide-angle lens, f/8, focus on action, capture the moment","blurred action, low light noise, unsteady shot, out of focus, distorted perspective"
Photojournalism Style: Candid,"candid shot of {prompt}. 50mm lens, f/2.8, spontaneous, unposed","poor lighting, motion blur, out of focus, distracting background, overprocessed"
Photojournalism Style: Documentary,"documentary style of {prompt}. 35mm lens, f/5.6, truthful representation, neutral perspective","overexposed, underexposed, oversaturated, motion blur, unsteady shot"
Fashion Photography Style: Haute Couture,"haute couture display of {prompt}. 85mm lens, f/2.2, vibrant colors, dramatic lighting","flat lighting, out of focus, distracting background, overprocessed, oversaturated"
Fashion Photography Style: Editorial,"editorial fashion shot of {prompt}. 50mm lens, f/2.5, storytelling, focused on outfit","unflattering pose, poor lighting, blurry, distracting elements, overexposed"
Fashion Photography Style: Catalog,"catalog shot of {prompt}. 70mm lens, f/5.6, neutral background, clear focus on attire","poor lighting, unflattering angles, distorted perspective, underexposed, oversaturated"
Sports Photography Style: Action-packed,"action-packed shot of {prompt}. 200mm lens, f/2.8, high shutter speed, capture the peak moment","motion blur, underexposed, out of focus, distracting background, unsteady shot"
Sports Photography Style: Emotional,"emotional moment in {prompt}. 135mm lens, f/4, capture expressions, ambient lighting","poor focus, high ISO noise, unsteady shot, underexposed, distorted colors"
Sports Photography Style: Narrative,"narrative image of {prompt}. 50mm lens, f/3.5, storytelling, context setting","unfocused, poor lighting, cluttered composition, overexposed, distorted perspective"
Still Life Photography Style: Minimalistic,"minimalistic composition of {prompt}. 50mm lens, f/5.6, simplistic design, neutral colors","cluttered, oversaturated, unbalanced composition, poor lighting, overexposed"
Still Life Photography Style: Dramatic,"dramatic still life of {prompt}. 85mm lens, f/2.2, dramatic lighting, intense colors","flat lighting, blurry, underexposed, distracting elements, oversaturated"
Still Life Photography Style: Rustic,"rustic presentation of {prompt}. 35mm lens, f/4, natural elements, warm tones","poor focus, overexposed, cluttered, cold colors, unbalanced composition"
Editorial Photography Style: Investigative,"investigative shot of {prompt}. 24mm lens, f/4, informative, intriguing","blurry, underexposed, distorted perspective, high ISO noise, distracting elements"
Editorial Photography Style: Lifestyle,"lifestyle capture of {prompt}. 50mm lens, f/2.8, candid, vibrant colors","poor lighting, overprocessed, distracting background, motion blur, unsteady shot"
Editorial Photography Style: Opinion,"opinion image of {prompt}. 35mm lens, f/5.6, emotive, storytelling","poor focus, underexposed, cluttered composition, overexposed highlights, distorted colors"
Architectural Photography Style: Historical,"historical capture of {prompt}. 24mm lens, f/8, capture architectural details, natural lighting","distorted perspective, underexposed, overprocessed, unsharp, oversaturated"
Architectural Photography Style: Modernist,"modernist view of {prompt}. 18mm lens, f/4, minimalistic, strong lines","barrel distortion, overexposed, blurry, poor composition, flat colors"
Architectural Photography Style: Surreal,"surreal perspective of {prompt}. Fisheye lens, f/2.8, abstract interpretation, vibrant colors","unfocused, poor lighting, underexposed, overprocessed, distracting elements"
Style: Steampunk (2),"steampunk-inspired {prompt} . gears, brass, rivets, old-world technology, intricate, highly detailed, Victorian","ugly, deformed, noisy, blurry, minimalistic, sleek"
Style: Futuristic (2),"futuristic interpretation of {prompt} . sleek, high-tech, metallic, smooth surfaces, neon, sharp edges, crystal clear, professional, ultra detailed","ugly, deformed, noisy, blurry, rustic, vintage, antique"
Style: Abstract Expressionism,"Abstract Expressionist style of {prompt} . bold colors, vigorous brushwork, non-representational, spontaneous, expressive, emotional","boring, monotone, plain, still, unemotional, realistic, photographic"
Style: Surrealism,"surrealistic {prompt} . dreamlike, subconscious, bizarre, highly detailed, intricate, imaginative, illogical juxtaposition","clear, realistic, boring, typical, straightforward, concrete, photographic"
Style: Watercolor (2),"watercolor painting of {prompt} . fluid, soft edges, light colors, translucent, delicate, dreamy","hard, geometric, precise, opaque, harsh, dark, sharp, digital, pixelated"
Style: Pointillism (2),"pointillist technique on {prompt} . tiny dots of color, optical blend, detailed, vibrant, rich","solid, monochromatic, bland, minimalist, soft, blurry"
Style: Cubism,"cubist interpretation of {prompt} . geometric forms, multi-perspective, abstract, fragmented, complex","rounded, realistic, photographic, simple, straightforward, traditional"
Style: Gothic (3),"gothic style {prompt} . dark, mysterious, medieval, ornate, intricate, detailed, haunting","bright, modern, simple, minimalist, cheerful, photorealistic"
Style: Pop Art (3),"pop art style {prompt} . bold colors, mass culture, comic style, ironical, vibrant, detailed","neutral, realistic, serious, dull, monochromatic, photographic"
Style: Impressionism,"impressionist take on {prompt} . loose brushwork, light color, emphasis on light and movement, emotive, painterly","tight, photographic, dark, stationary, unemotional, sharp, digital"
Style: Street Art (2),"street art version of {prompt} . urban, graffiti, spray paint, vibrant, bold, rough, rebellious","elegant, refined, traditional, delicate, soft, photorealistic"
Style: Art Nouveau (3),"art nouveau style {prompt} . elegant, ornate, flowing lines, detailed, decorative","simple, modern, sharp, minimalistic, geometric, unadorned"
Style: Charcoal,"charcoal sketch of {prompt} . dark, grainy, high contrast, loose, dramatic","light, smooth, precise, colorful, clean, photographic"
Style: Collage (2),"collage of {prompt} . mixed media, eclectic, detailed, layered, creative","uniform, minimalistic, simple, clean, digital, monochromatic"
Style: Minimalist (3),"minimalist {prompt} . clean lines, simple shapes, limited color palette, modern, sleek","detailed, ornate, decorative, colorful, chaotic, complex"
